UF;COD. UF;COD. MUNIC;CD_MUN;NOME DO MUNICÍPIO;POPULACAO
RS;43;13375;4313375;Nova Santa Rita;28290
PA;15;07003;1507003;Santo Antônio do Tauá;28282
SC;42;15703;4215703;Santo Amaro da Imperatriz;28260
RS;43;04200;4304200;Candelária;28249
PE;26;10509;2610509;Passira;28235
BA;29;14901;2914901;Itacaré;28214
SP;35;12209;3512209;Conchal;28184
BA;29;22508;2922508;Nazaré;28181
RO;11;00452;1100452;Buritis;28178
SC;42;12809;4212809;Balneário Piçarras;28177
RJ;33;00506;3300506;Bom Jardim;28166
PI;22;02703;2202703;Cocal;28121
SP;35;10807;3510807;Casa Branca;28107
BA;29;28406;2928406;Santa Rita de Cássia;28084
SC;42;10506;4210506;Maravilha;28045
MT;51;05622;5105622;Mirassol d'Oeste;28023
PA;15;08035;1508035;Tracuateua;28015
RJ;33;04003;3304003;Piraí;27996
BA;29;14505;2914505;Irará;27984
ES;32;01605;3201605;Conceição da Barra;27947
MG;31;10509;3110509;Camanducaia;27942
SP;35;30102;3530102;Mirandópolis;27936
MS;50;01003;5001003;Aparecida do Taboado;27862
ES;32;03007;3203007;Iúna;27846
BA;29;21203;2921203;Miguel Calmon;27817
AP;16;00501;1600501;Oiapoque;27778
BA;29;20502;2920502;Maracás;27747
PB;25;08307;2508307;Lagoa Seca;27739
SC;42;13500;4213500;Porto Belo;27726
PE;26;08107;2608107;João Alfredo;27710
MG;31;55603;3155603;Rio Pardo de Minas;27708
BA;29;14653;2914653;Itabela;27691
BA;29;25758;2925758;Presidente Tancredo Neves;27662
RJ;33;01876;3301876;Iguaba Grande;27651
MG;31;44003;3144003;Mutum;27634
MA;21;06904;2106904;Monção;27620
RS;43;11304;4311304;Lagoa Vermelha;27598
MT;51;01704;5101704;Barra do Bugres;27586
CE;23;09409;2309409;Novo Oriente;27566
PE;26;07752;2607752;Itapissuma;27565
GO;52;09705;5209705;Hidrolândia;27530
PE;26;14600;2614600;Tabira;27505
PI;22;02901;2202901;Corrente;27419
PE;26;06606;2606606;Ibimirim;27406
RN;24;07203;2407203;Macau;27395
SP;35;01301;3501301;Álvares Machado;27361
PB;25;12903;2512903;Rio Tinto;27352
PB;25;04603;2504603;Conde;27344
BA;29;12707;2912707;Ibirapitanga;27341
CE;23;07106;2307106;Jardim;27335
BA;29;25907;2925907;Quijingue;27317
PA;15;04604;1504604;Mocajuba;27265
ES;32;05010;3205010;Sooretama;27255
MG;31;62955;3162955;São José da Lapa;27125
AM;13;03106;1303106;Nova Olinda do Norte;27088
RN;24;04200;2404200;Goianinha;27079
RS;43;04663;4304663;Capão do Leão;27071
RS;43;10330;4310330;Imbé;27053
PA;15;01907;1501907;Bujaru;27049
GO;52;13087;5213087;Minaçu;26994
SP;35;04602;3504602;Bady Bassitt;26991
RN;24;01453;2401453;Baraúna;26949
MT;51;06307;5106307;Paranatinga;26908
MA;21;10609;2110609;São Bernardo;26899
SE;28;01207;2801207;Canindé de São Francisco;26871
PA;15;02756;1502756;Concórdia do Pará;26869
MG;31;45307;3145307;Novo Cruzeiro;26850
SP;35;31902;3531902;Morro Agudo;26806
PR;41;21703;4121703;Reserva;26786
PB;25;16003;2516003;Solânea;26777
PA;15;04505;1504505;Melgaço;26770
MT;51;04807;5104807;Jaciara;26713
RS;43;22707;4322707;Vera Cruz;26702
SC;42;08500;4208500;Ituporanga;26694
SE;28;05703;2805703;Propriá;26648
RJ;33;03005;3303005;Miracema;26644
SE;28;05604;2805604;Porto da Folha;26630
PR;41;16901;4116901;Nova Esperança;26616
BA;29;13200;2913200;Ibotirama;26611
BA;29;23803;2923803;Paripiranga;26609
GO;52;17302;5217302;Pirenópolis;26598
SP;35;12407;3512407;Cordeirópolis;26585
RS;43;11007;4311007;Jaguarão;26583
PA;15;05437;1505437;Ourilândia do Norte;26570
MG;31;51404;3151404;Pitangui;26568
PA;15;01956;1501956;Cachoeira do Piriá;26510
MA;21;12100;2112100;Timbiras;26501
PE;26;00401;2600401;Água Preta;26473
MT;51;06257;5106257;Nova Xavantina;26467
PR;41;20804;4120804;Quatro Barras;26452
TO;17;09302;1709302;Guaraí;26444
PA;15;04455;1504455;Medicilândia;26438
MG;31;17306;3117306;Conceição das Alagoas;26423
BA;29;15809;2915809;Itambé;26420
PR;41;06506;4106506;Coronel Vivida;26413
ES;32;00201;3200201;Alegre;26397
SP;35;26209;3526209;Juquitiba;26372
MG;31;39607;3139607;Mantena;26352
RJ;33;02908;3302908;Miguel Pereira;26301
PI;22;01507;2201507;Batalha;26300
RS;43;19505;4319505;São Sebastião do Caí;26300
MG;31;23601;3123601;Elói Mendes;26283
BA;29;33505;2933505;Wenceslau Guimarães;26279
PE;26;16308;2616308;Vicência;26254
CE;23;03204;2303204;Caririaçu;26236
MS;50;05004;5005004;Jardim;26214
MS;50;03256;5003256;Costa Rica;26187
BA;29;18357;2918357;João Dourado;26186
PB;25;00304;2500304;Alagoa Grande;26081
PR;41;17305;4117305;Ortigueira;26078
BA;29;02807;2902807;Barra da Estiva;26031
BA;29;25808;2925808;Queimadas;26027
SC;42;16503;4216503;São Joaquim;26026
MG;31;11606;3111606;Campos Gerais;25972
PA;15;04307;1504307;Maracanã;25929
SP;35;20103;3520103;Igarapava;25926
MT;51;02702;5102702;Canarana;25907
MG;31;56908;3156908;Sacramento;25888
CE;23;11603;2311603;Redenção;25813
CE;23;07809;2307809;Marco;25790
AC;12;00104;1200104;Brasiléia;25786
CE;23;08302;2308302;Milagres;25761
ES;32;04609;3204609;Santa Teresa;25755
BA;29;19157;2919157;Lapão;25713
MA;21;00477;2100477;Alto Alegre do Pindaré;25673
MA;21;05005;2105005;Humberto de Campos;25656
RS;43;13300;4313300;Nova Prata;25656
MA;21;00956;2100956;Arame;25646
BA;29;14406;2914406;Iraquara;25590
SP;35;20442;3520442;Ilha Solteira;25564
PR;41;01606;4101606;Arapoti;25541
MG;31;34905;3134905;Jacutinga;25538
CE;23;01208;2301208;Aracoiaba;25522
MG;31;69604;3169604;Tupaciguara;25500
RS;43;18507;4318507;São José do Norte;25491
PR;41;02109;4102109;Astorga;25477
RS;43;21907;4321907;Três Passos;25467
RO;11;00338;1100338;Nova Mamoré;25452
MA;21;11102;2111102;São João dos Patos;25452
BA;29;01205;2901205;Anagé;25452
PI;22;05805;2205805;Luzilândia;25382
SP;35;39202;3539202;Pirapozinho;25376
SP;35;53401;3553401;Tanabi;25370
RS;43;21709;4321709;Três Coroas;25344
SP;35;07803;3507803;Brodowski;25334
AL;27;02355;2702355;Craíbas;25330
ES;32;02454;3202454;Ibatiba;25296
BA;29;06709;2906709;Cândido Sales;25278
MG;31;09303;3109303;Buritis;25223
AL;27;05507;2705507;Murici;25221
BA;29;11105;2911105;Formosa do Rio Preto;25185
MS;50;02209;5002209;Bonito;25185
BA;29;11907;2911907;Iaçu;25178
PI;22;11209;2211209;Uruçuí;25166
CE;23;02701;2302701;Campos Sales;25132
BA;29;13507;2913507;Iguaí;25114
RS;43;21808;4321808;Três de Maio;25006
RS;43;21303;4321303;Taquari;25004
SE;28;04607;2804607;Nossa Senhora das Dores;25000
SP;35;02705;3502705;Apiaí;24978
MG;31;62906;3162906;São João Nepomuceno;24970
RS;43;09407;4309407;Guaporé;24958
MG;31;18809;3118809;Coração de Jesus;24951
MG;31;01102;3101102;Aimorés;24934
PR;41;23501;4123501;Santa Helena;24917
PA;15;05700;1505700;Ponta de Pedras;24913
SP;35;29203;3529203;Martinópolis;24896
MG;31;44607;3144607;Nepomuceno;24869
SP;35;47502;3547502;Santa Rita do Passa Quatro;24858
SP;35;21804;3521804;Itaí;24856
CE;23;13203;2313203;Tamboril;24812
AM;13;03569;1303569;Rio Preto da Eva;24807
BA;29;30774;2930774;Sobradinho;24799
BA;29;28208;2928208;Santana;24778
SC;42;16909;4216909;São Lourenço do Oeste;24774
ES;32;03403;3203403;Mimoso do Sul;24769
PR;41;28005;4128005;Ubiratã;24733
MA;21;05104;2105104;Icatu;24719
PA;15;03077;1503077;Garrafão do Norte;24716
BA;29;20700;2920700;Maraú;24713
PA;15;06302;1506302;Salvaterra;24701
BA;29;07301;2907301;Castro Alves;24700
AL;27;04203;2704203;Limoeiro de Anadia;24698
SE;28;00670;2800670;Boquim;24669
BA;29;32002;2932002;Uauá;24654
GO;52;10109;5210109;Ipameri;24617
MA;21;05500;2105500;João Lisboa;24609
PE;26;04601;2604601;Condado;24586
PA;15;06609;1506609;Santa Maria do Pará;24583
SC;42;06306;4206306;Guabiruba;24578
RJ;33;03955;3303955;Pinheiral;24553
MS;50;05608;5005608;Miranda;24553
RS;43;20909;4320909;Tapejara;24539
MT;51;01407;5101407;Aripuanã;24499
CE;23;09458;2309458;Ocara;24483
MG;31;48707;3148707;Pedra Azul;24452
BA;29;08606;2908606;Conde;24433
SC;42;02453;4202453;Bombinhas;24416
AM;13;01803;1301803;Ipixuna;24387
SP;35;53807;3553807;Taquarituba;24366
SP;35;07100;3507100;Bom Jesus dos Perdões;24365
PE;26;03702;2603702;Canhotinho;24340
PE;26;15003;2615003;Taquaritinga do Norte;24335
CE;23;10852;2310852;Pindoretama;24329
MG;31;29509;3129509;Ibiá;24271
MA;21;02903;2102903;Carutapera;24263
MA;21;08256;2108256;Pedro do Rosário;24260
CE;23;12700;2312700;Senador Pompeu;24256
PE;26;09154;2609154;Manari;24255
AM;13;03304;1303304;Novo Aripuanã;24251
PA;15;07458;1507458;São Geraldo do Araguaia;24243
BA;29;22904;2922904;Nova Soure;24206
PA;15;07904;1507904;Soure;24183
SP;35;14106;3514106;Dois Córregos;24170
MG;31;41801;3141801;Minas Novas;24117
AL;27;09400;2709400;Viçosa;24089
AL;27;08907;2708907;Satuba;24087
PR;41;26603;4126603;Siqueira Campos;24083
MG;31;24203;3124203;Espera Feliz;24081
RN;24;01107;2401107;Areia Branca;24076
AM;13;01308;1301308;Codajás;24071
MA;21;02804;2102804;Carolina;24056
CE;23;05605;2305605;Independência;24047
SE;28;07600;2807600;Umbaúba;24039
AM;13;00680;1300680;Boa Vista do Ramos;24018
GO;52;05513;5205513;Cocalzinho de Goiás;24018
SE;28;03609;2803609;Laranjeiras;24003
AL;27;03106;2703106;Igaci;23996
MA;21;00709;2100709;Anajatuba;23968
CE;23;05308;2305308;Ibiapina;23966
ES;32;05069;3205069;Venda Nova do Imigrante;23964
PR;41;03602;4103602;Cambará;23956
CE;23;06108;2306108;Irauçuba;23944
SP;35;02200;3502200;Angatuba;23928
MA;21;05427;2105427;Itinga do Maranhão;23904
AL;27;04005;2704005;Junqueiro;23902
RS;43;22806;4322806;Veranópolis;23878
PE;26;07000;2607000;Inajá;23871
AL;27;05101;2705101;Matriz de Camaragibe;23871
SP;35;37404;3537404;Pereira Barreto;23871
PR;41;06605;4106605;Cruzeiro do Oeste;23852
TO;17;21208;1721208;Tocantinópolis;23847
SP;35;09403;3509403;Cajuru;23845
MG;31;62401;3162401;São João da Ponte;23840
MS;50;01904;5001904;Bataguassu;23837
MG;31;13206;3113206;Carandaí;23826
MS;50;04502;5004502;Itaporã;23818
PA;15;03093;1503093;Goianésia do Pará;23806
MG;31;62005;3162005;São Gonçalo do Sapucaí;23792
SP;35;47601;3547601;Santa Rosa de Viterbo;23783
MA;21;10104;2110104;Santa Quitéria do Maranhão;23782
MG;31;47402;3147402;Paraopeba;23776
SP;35;56305;3556305;Valparaíso;23775
GO;52;17104;5217104;Piracanjuba;23771
SP;35;07902;3507902;Brotas;23751
PE;26;00302;2600302;Agrestina;23739
AL;27;06406;2706406;Pão de Açúcar;23721
SP;35;46702;3546702;Santa Gertrudes;23721
MG;31;43401;3143401;Monte Sião;23715
AL;27;07305;2707305;Porto Calvo;23708
MG;31;09402;3109402;Buritizeiro;23687
BA;29;33000;2933000;Valente;23683
RS;43;18200;4318200;São Francisco de Paula;23682
ES;32;04104;3204104;Pinheiros;23674
BA;29;01106;2901106;Amélia Rodrigues;23639
BA;29;00801;2900801;Alcobaça;23633
PB;25;07002;2507002;Itaporanga;23623
MS;50;02100;5002100;Bela Vista;23594
RR;14;00050;1400050;Alto Alegre;23582
PE;26;08750;2608750;Lagoa Grande;23580
MA;21;09007;2109007;Porto Franco;23565
MG;31;05103;3105103;Bambuí;23545
SC;42;11702;4211702;Orleans;23531
PR;41;19400;4119400;Piraí do Sul;23514
RN;24;12500;2412500;São Miguel;23494
PE;26;14857;2614857;Tamandaré;23494
BA;29;06204;2906204;Canarana;23491
AL;27;09202;2709202;Traipu;23486
GO;52;08905;5208905;Goiás;23485
RS;43;15305;4315305;Quaraí;23475
PE;26;05004;2605004;Cupira;23474
MA;21;10039;2110039;Santa Luzia do Paruá;23413
PE;26;13206;2613206;São João;23411
MG;31;54002;3154002;Raul Soares;23387
PR;41;04659;4104659;Carambeí;23386
MG;31;14204;3114204;Carmo do Cajuru;23374
MG;31;17504;3117504;Conceição do Mato Dentro;23345
MS;50;00708;5000708;Anastácio;23338
BA;29;25006;2925006;Planalto;23290
MA;21;00436;2100436;Alto Alegre do Maranhão;23270
PR;41;24053;4124053;Santa Terezinha de Itaipu;23236
BA;29;18803;2918803;Laje;23198
PB;25;06905;2506905;Itabaiana;23187
PE;26;09006;2609006;Macaparana;23187
SC;42;03907;4203907;Capinzal;23184
CE;23;01703;2301703;Aurora;23173
PE;26;14808;2614808;Tacaratu;23166
PR;41;13502;4113502;Loanda;23149
MA;21;03802;2103802;Dom Pedro;23111
PB;25;01500;2501500;Bananeiras;23107
SP;35;48005;3548005;Santo Antônio de Posse;23102
BA;29;21104;2921104;Medeiros Neto;23096
MS;50;07109;5007109;Ribas do Rio Pardo;23085
PR;41;12108;4112108;Jandaia do Sul;23006
MG;31;19104;3119104;Corinto;22992
RJ;33;02106;3302106;Itaocara;22989
PA;15;02004;1502004;Cachoeira do Arari;22950
RN;24;07807;2407807;Monte Alegre;22950
BA;29;08200;2908200;Conceição da Feira;22936
CE;23;07403;2307403;Jucás;22926
RS;43;10801;4310801;Ivoti;22911
PR;41;05904;4105904;Colorado;22902
PE;26;10806;2610806;Pedra;22884
PE;26;07604;2607604;Ilha de Itamaracá;22879
SC;42;03956;4203956;Capivari de Baixo;22873
BA;29;23209;2923209;Oliveira dos Brejinhos;22850
CE;23;04350;2304350;Forquilha;22848
PA;15;04752;1504752;Mojuí dos Campos;22845
MA;21;04677;2104677;Governador Nunes Freire;22754
SP;35;20004;3520004;Igaraçu do Tietê;22743
GO;52;20207;5220207;São Miguel do Araguaia;22738
AL;27;02603;2702603;Feira Grande;22701
RS;43;20107;4320107;Sarandi;22693
SP;35;10302;3510302;Capela do Alto;22679
SP;35;02754;3502754;Araçariguama;22673
PA;15;07805;1507805;Senador José Porfírio;22651
PB;25;01104;2501104;Areia;22634
BA;29;23100;2923100;Olindina;22615
AL;27;07107;2707107;Piranhas;22589
RO;11;00809;1100809;Candeias do Jamari;22564
MA;21;00303;2100303;Aldeias Altas;22549
MG;31;00203;3100203;Abaeté;22492
BA;29;05602;2905602;Camacan;22460
SP;35;38907;3538907;Pirajuí;22451
BA;29;27507;2927507;Santa Bárbara;22446
MA;21;12233;2112233;Trizidela do Vale;22438
MA;21;02309;2102309;Buriti Bravo;22427
CE;23;01950;2301950;Barreira;22412
PE;26;10202;2610202;Panelas;22412
BA;29;05008;2905008;Caculé;22412
RS;43;06809;4306809;Encantado;22391
MG;31;30903;3130903;Inhapim;22327
GO;52;03500;5203500;Bom Jesus de Goiás;22320
PI;22;11308;2211308;Valença do Piauí;22316
CE;23;08906;2308906;Morrinhos;22311
BA;29;26202;2926202;Riachão das Neves;22289
ES;32;05036;3205036;Vargem Alta;22285
MT;51;03502;5103502;Diamantino;22284
CE;23;04954;2304954;Guaiúba;22283
RS;43;06908;4306908;Encruzilhada do Sul;22276
MG;31;35803;3135803;Jequitinhonha;22262
GO;52;20603;5220603;Silvânia;22230
SP;35;54300;3554300;Teodoro Sampaio;22217
CE;23;03808;2303808;Cedro;22216
MA;21;09502;2109502;Riachão;22153
RN;24;11502;2411502;Santo Antônio;22150
MG;31;06309;3106309;Belo Oriente;22149
RJ;33;05158;3305158;São José do Vale do Rio Preto;22125
SP;35;13603;3513603;Cunha;22125
AP;16;00402;1600402;Mazagão;22105
SC;42;08104;4208104;Itaiópolis;22065
ES;32;02108;3202108;Ecoporanga;21995
BA;29;17300;2917300;Ituberá;21974
RS;43;01008;4301008;Arroio do Meio;21961
MA;21;08702;2108702;Pio XII;21941
MG;31;44102;3144102;Muzambinho;21935
AM;13;04104;1304104;Tapauá;21914
MG;31;67103;3167103;Serro;21813
BA;29;31509;2931509;Teofilândia;21811
MA;21;06508;2106508;Matinha;21808
SE;28;05505;2805505;Poço Verde;21776
SP;35;21408;3521408;Iracemápolis;21768
RJ;33;04151;3304151;Quissamã;21749
RS;43;10009;4310009;Ibirubá;21733
CE;23;01604;2301604;Assaré;21703
BA;29;12103;2912103;Ibicaraí;21688
SP;35;17505;3517505;Guapiaçu;21664
AC;12;00450;1200450;Senador Guiomard;21658
PR;41;05409;4105409;Chopinzinho;21646
GO;52;05406;5205406;Ceres;21633
PB;25;00601;2500601;Alhandra;21632
AL;27;05002;2705002;Mata Grande;21627
RO;11;00320;1100320;São Miguel do Guaporé;21612
BA;29;06907;2906907;Caravelas;21612
MG;31;11002;3111002;Campestre;21585
MG;31;47204;3147204;Paraguaçu;21580
RO;11;00015;1100015;Alta Floresta D'Oeste;21558
BA;29;19702;2919702;Macarani;21556
GO;52;10901;5210901;Itapaci;21547
MG;31;33501;3133501;Itapecerica;21534
SP;35;05807;3505807;Bastos;21516
RJ;33;05604;3305604;Silva Jardim;21509
PI;22;10003;2210003;São João do Piauí;21506
MG;31;26703;3126703;Francisco Sá;21504
SC;42;12908;4212908;Pinhalzinho;21495
MS;50;06002;5006002;Nova Alvorada do Sul;21476
SP;35;53302;3553302;Tambaú;21475
SP;35;31407;3531407;Monte Aprazível;21470
RN;24;08904;2408904;Parelhas;21464
SP;35;11409;3511409;Cerqueira César;21440
SC;42;06900;4206900;Ibirama;21425
BA;29;31004;2931004;Tanhaçu;21407
AM;13;00144;1300144;Apuí;21403
CE;23;05357;2305357;Icapuí;21400
PE;26;16209;2616209;Vertentes;21393
BA;29;32705;2932705;Uruçuca;21365
PE;26;05400;2605400;Feira Nova;21362
ES;32;04054;3204054;Pedro Canário;21343
SC;42;06702;4206702;Herval d'Oeste;21339
MG;31;49903;3149903;Perdões;21329
PB;25;03001;2503001;Caaporã;21290
RS;43;16006;4316006;Rolante;21288
PB;25;09107;2509107;Mari;21251
MT;51;05606;5105606;Matupá;21238
SC;42;14003;4214003;Presidente Getúlio;21231
AL;27;03205;2703205;Igreja Nova;21227
SP;35;32405;3532405;Nazaré Paulista;21214
RS;43;19604;4319604;São Sepé;21189
AL;27;01001;2701001;Boca da Mata;21175
PE;26;09709;2609709;Orobó;21173
PB;25;12309;2512309;Princesa Isabel;21148
PA;15;04950;1504950;Nova Esperança do Piriá;21132
ES;32;04203;3204203;Piúma;21124
MA;21;06326;2106326;Maracaçumé;21106
PA;15;06351;1506351;Santa Bárbara do Pará;21089
PI;22;07801;2207801;Paulistana;21080
MG;31;32701;3132701;Itambacuri;21080
MA;21;07605;2107605;Palmeirândia;21056
RS;43;19000;4319000;São Marcos;21027
MG;31;15508;3115508;Caxambu;21011
PB;25;00403;2500403;Alagoa Nova;21009
MA;21;06706;2106706;Mirador;20998
MS;50;05202;5005202;Ladário;20995
PA;15;07151;1507151;São Domingos do Araguaia;20970
MT;51;07008;5107008;Poxoréu;20970
MS;50;02902;5002902;Cassilândia;20951
CE;23;04004;2304004;Coreaú;20944
SC;42;19002;4219002;Urussanga;20915
RS;43;18408;4318408;São Jerônimo;20909
MG;31;43203;3143203;Monte Santo de Minas;20881
BA;29;12202;2912202;Ibicoara;20874
CE;23;11504;2311504;Quixeré;20863
RJ;33;01504;3301504;Cordeiro;20843
RJ;33;01405;3301405;Conceição de Macabu;20814
AM;13;00631;1300631;Beruri;20807
RR;14;00209;1400209;Caracaraí;20780
MG;31;71006;3171006;Vazante;20771
AL;27;08303;2708303;São José da Laje;20742
MG;31;14402;3114402;Carmo do Rio Claro;20725
MG;31;22009;3122009;Divino;20705
AL;27;05705;2705705;Olho d'Água das Flores;20702
MG;31;37700;3137700;Lajinha;20667
PE;26;00807;2600807;Altinho;20657
PA;15;02509;1502509;Chaves;20630
BA;29;11600;2911600;Governador Mangabeira;20604
PA;15;07474;1507474;São João de Pirabas;20593
BA;29;04100;2904100;Boquira;20588
SP;35;39103;3539103;Pirapora do Bom Jesus;20578
BA;29;03409;2903409;Belmonte;20565
BA;29;22102;2922102;Mundo Novo;20564
MA;21;06755;2106755;Miranda do Norte;20562
MG;31;59803;3159803;Santa Vitória;20538
GO;52;00134;5200134;Acreúna;20506
MG;31;62708;3162708;São João do Paraíso;20502
PE;26;04502;2604502;Chã Grande;20494
TO;17;08205;1708205;Formoso do Araguaia;20471
MA;21;08454;2108454;Peritoró;20471
MG;31;47303;3147303;Paraisópolis;20463
MG;31;37809;3137809;Lambari;20449
CE;23;06603;2306603;Itatira;20444
SP;35;26001;3526001;Junqueirópolis;20395
MS;50;03801;5003801;Fátima do Sul;20381
BA;29;23605;2923605;Paramirim;20378
RJ;33;04110;3304110;Porto Real;20375
MG;31;42908;3142908;Monte Azul;20345
SP;35;40754;3540754;Potim;20342
PA;15;06559;1506559;Santa Luzia do Pará;20341
BA;29;11808;2911808;Guaratinga;20338
SC;42;07106;4207106;Ilhota;20319
PE;26;11705;2611705;Riacho das Almas;20307
SE;28;06206;2806206;Salgado;20294
BA;29;29107;2929107;São Felipe;20286
MT;51;03304;5103304;Comodoro;20283
CE;23;13807;2313807;Uruburetama;20259
AM;13;03007;1303007;Nhamundá;20249
BA;29;25956;2925956;Rafael Jambeiro;20242
BA;29;17805;2917805;Jaguaripe;20237
SP;35;29906;3529906;Miracatu;20234
PR;41;01101;4101101;Andirá;20234
SP;35;40804;3540804;Potirendaba;20227
GO;52;06404;5206404;Crixás;20227
PE;26;05608;2605608;Flores;20213
SC;42;17402;4217402;Schroeder;20213
MA;21;08108;2108108;Paulo Ramos;20183
AM;13;04237;1304237;Tonantins;20180
CE;23;03956;2303956;Chorozinho;20174
SP;35;40002;3540002;Pompéia;20171
SP;35;42404;3542404;Regente Feijó;20151
SE;28;00209;2800209;Aquidabã;20126
SP;35;15152;3515152;Engenheiro Coelho;20119
PE;26;13305;2613305;São Joaquim do Monte;20098
BA;29;24306;2924306;Piatã;20098
BA;29;23407;2923407;Palmas de Monte Alto;20091
MT;51;08600;5108600;Vila Rica;20077
AL;27;07503;2707503;Porto Real do Colégio;20048
SP;35;27405;3527405;Lucélia;20046
SP;35;08009;3508009;Buri;20038
BA;29;22409;2922409;Mutuípe;20028
MG;31;24005;3124005;Ervália;20028
MG;31;42809;3142809;Monte Alegre de Minas;20004
MG;31;18403;3118403;Conselheiro Pena;19998
RS;43;22202;4322202;Tupanciretã;19997
SE;28;01405;2801405;Carira;19935
MG;31;69703;3169703;Turmalina;19933
PA;15;02772;1502772;Curionópolis;19929
BA;29;15502;2915502;Itajuípe;19913
PE;26;11903;2611903;Rio Formoso;19905
SP;35;11003;3511003;Castilho;19902
MG;31;39508;3139508;Manhumirim;19812
MS;50;07406;5007406;Rio Verde de Mato Grosso;19810
MG;31;67608;3167608;Simonésia;19807
MA;21;02606;2102606;Cândido Mendes;19805
GO;52;18904;5218904;Rubiataba;19803
MG;31;05905;3105905;Barroso;19802
RS;43;13060;4313060;Nova Hartz;19799
CE;23;01307;2301307;Araripe;19791
PE;26;03108;2603108;Cachoeirinha;19789
SC;42;18301;4218301;Três Barras;19782
RN;24;02303;2402303;Caraúbas;19766
GO;52;01306;5201306;Anicuns;19762
BA;29;16104;2916104;Itaparica;19738
MT;51;03007;5103007;Chapada dos Guimarães;19728
BA;29;09604;2909604;Crisópolis;19720
PB;25;05105;2505105;Cuité;19718
MG;31;34608;3134608;Jaboticatubas;19697
PR;41;24400;4124400;Santo Antônio do Sudoeste;19677
CE;23;09508;2309508;Orós;19675
CE;23;11264;2311264;Quiterianópolis;19624
AM;13;01159;1301159;Careiro da Várzea;19615
BA;29;12905;2912905;Ibirataia;19613
ES;32;03346;3203346;Marechal Floriano;19594
GO;52;12204;5212204;Jussara;19582
MA;21;01905;2101905;Bequimão;19572
TO;17;13205;1713205;Miracema do Tocantins;19561
SP;35;35309;3535309;Palmital;19559
MT;51;06372;5106372;Pedra Preta;19559
PI;22;02000;2202000;Buriti dos Lopes;19545
SC;42;08807;4208807;Jaguaruna;19538
MA;21;07704;2107704;Paraibano;19530
BA;29;04753;2904753;Buritirama;19514
PR;41;01002;4101002;Ampére;19506
MG;31;53400;3153400;Presidente Olegário;19471
MS;50;04601;5004601;Itaquiraí;19453
MA;21;11706;2111706;São Vicente Ferrer;19446
RJ;33;01108;3301108;Cantagalo;19443
BA;29;04852;2904852;Cabaceiras do Paraguaçu;19432
SP;35;35804;3535804;Paranapanema;19412
SP;35;26100;3526100;Juquiá;19390
SP;35;33007;3533007;Nova Granada;19358
PI;22;02307;2202307;Canto do Buriti;19355
BA;29;23357;2923357;Ourolândia;19322
BA;29;03805;2903805;Boa Vista do Tupim;19320
RR;14;00456;1400456;Pacaraima;19317
RO;11;00254;1100254;Presidente Médici;19316
PE;26;01052;2601052;Araçoiaba;19314
CE;23;02008;2302008;Barro;19313
MA;21;01509;2101509;Barão de Grajaú;19310
PI;22;02604;2202604;Castelo do Piauí;19266
SP;35;36208;3536208;Pariquera-Açu;19260
MG;31;13008;3113008;Caraí;19251
PR;41;21208;4121208;Quitandinha;19240
SP;35;23503;3523503;Itatinga;19219
MG;31;28303;3128303;Guaranésia;19209
MG;31;31208;3131208;Ipanema;19209
PR;41;04501;4104501;Capanema;19205
MG;31;41405;3141405;Medina;19199
AC;12;00336;1200336;Mâncio Lima;19172
BA;29;08101;2908101;Cocos;19156
GO;52;00050;5200050;Abadia de Goiás;19141
BA;29;24603;2924603;Pindobaçu;19133
SC;42;12205;4212205;Papanduva;19132
SP;35;29708;3529708;Miguelópolis;19119
PB;25;14503;2514503;São José de Piranhas;19116
BA;29;10404;2910404;Encruzilhada;19111
MG;31;37502;3137502;Lagoa Formosa;19050
ES;32;04351;3204351;Rio Bananal;19035
BA;29;16005;2916005;Itanhém;19025
MG;31;33303;3133303;Itaobim;19025
AL;27;00102;2700102;Água Branca;19011
AL;27;09103;2709103;Taquarana;19004
BA;29;17201;2917201;Ituaçu;18992
PR;41;21406;4121406;Realeza;18928
PA;15;08050;1508050;Trairão;18924
ES;32;04005;3204005;Pancas;18923
SC;42;10605;4210605;Massaranduba;18922
PR;41;28500;4128500;Wenceslau Braz;18894
MG;31;39300;3139300;Manga;18882
SP;35;00501;3500501;Águas de Lindóia;18859
RS;43;09605;4309605;Horizontina;18852
ES;32;03502;3203502;Montanha;18851
GO;52;17708;5217708;Pontalina;18843
MG;31;70909;3170909;Varzelândia;18842
PE;26;08503;2608503;Lagoa de Itaenga;18813
SP;35;11607;3511607;Cesário Lange;18811
PA;15;07979;1507979;Terra Santa;18804
PE;26;13404;2613404;São José da Coroa Grande;18802
BA;29;19926;2919926;Madre de Deus;18767
BA;29;00207;2900207;Abaré;18766
MS;50;05681;5005681;Mundo Novo;18738
PR;41;00509;4100509;Altônia;18735
MA;21;08009;2108009;Pastos Bons;18724
RS;43;02709;4302709;Butiá;18711
PB;25;01302;2501302;Aroeiras;18702
AC;12;00252;1200252;Epitaciolândia;18697
SC;42;05803;4205803;Garuva;18697
SC;42;11207;4211207;Morro da Fumaça;18687
PR;41;27205;4127205;Terra Boa;18654
SC;42;17501;4217501;Seara;18623
PR;41;27502;4127502;Tibagi;18612
