UF;COD. UF;COD. MUNIC;CD_MUN;NOME DO MUNICÍPIO;POPULACAO
RS;43;17608;4317608;Santo Antônio da Patrulha;42904
PR;41;09609;4109609;Guaratuba;42801
SE;28;07105;2807105;Simão Dias;42712
CE;23;06553;2306553;Itarema;42698
PI;22;05508;2205508;José de Freitas;42575
CE;23;05001;2305001;Guaraciaba do Norte;42063
PA;15;06195;1506195;Rurópolis;41975
RJ;33;03708;3303708;Paraíba do Sul;41786
RS;43;18804;4318804;São Lourenço do Sul;41756
RS;43;21501;4321501;Torres;41709
AM;13;00300;1300300;Autazes;41672
SE;28;00605;2800605;Barra dos Coqueiros;41644
MG;31;04205;3104205;Arcos;41635
BA;29;19801;2919801;Macaúbas;41631
PE;26;00500;2600500;Águas Belas;41549
SP;35;16705;3516705;Garça;41395
MA;21;03406;2103406;Coelho Neto;41353
RN;24;03103;2403103;Currais Novos;41341
SC;42;09409;4209409;Laguna;41269
SE;28;04508;2804508;Nossa Senhora da Glória;41267
MA;21;09809;2109809;Santa Helena;41221
RJ;33;03609;3303609;Paracambi;41146
MG;31;62104;3162104;São Gotardo;41114
BA;29;23001;2923001;Nova Viçosa;41089
CE;23;05803;2305803;Ipu;41083
SP;35;35507;3535507;Paraguaçu Paulista;41062
MG;31;07109;3107109;Boa Esperança;41060
PI;22;03701;2203701;Esperantina;40968
BA;29;33208;2933208;Vera Cruz;40915
RJ;33;04706;3304706;Santo Antônio de Pádua;40870
MA;21;14007;2114007;Zé Doca;40786
ES;32;00904;3200904;Barra de São Francisco;40753
MG;31;59605;3159605;Santa Rita do Sapucaí;40719
MS;50;06309;5006309;Paranaíba;40713
PA;15;05908;1505908;Porto de Moz;40709
BA;29;26004;2926004;Remanso;40531
MG;31;02605;3102605;Andradas;40522
PE;26;12604;2612604;Santa Maria da Boa Vista;40464
BA;29;29503;2929503;São Sebastião do Passé;40376
PE;26;15409;2615409;Toritama;40375
PR;41;11803;4111803;Jacarezinho;40356
SP;35;52106;3552106;Socorro;40323
MA;21;03505;2103505;Colinas;40322
SE;28;03005;2803005;Itabaianinha;40313
SP;35;25201;3525201;Jarinu;40302
SC;42;04806;4204806;Curitibanos;40289
CE;23;12205;2312205;Santa Quitéria;40239
PA;15;01782;1501782;Breu Branco;40157
SP;35;21002;3521002;Iperó;40132
PE;26;00104;2600104;Afogados da Ingazeira;40120
CE;23;10209;2310209;Paracuru;40046
BA;29;02906;2902906;Barra do Choça;40025
PE;26;01409;2601409;Barreiros;39993
MG;31;57005;3157005;Salinas;39969
MG;31;01706;3101706;Almenara;39915
AC;12;00500;1200500;Sena Madureira;39746
SP;35;15186;3515186;Espírito Santo do Pinhal;39700
MG;31;10004;3110004;Caeté;39578
BA;29;29305;2929305;São Gonçalo dos Campos;39570
SP;35;56404;3556404;Vargem Grande do Sul;39539
SP;35;22703;3522703;Itápolis;39533
BA;29;06808;2906808;Cansanção;39475
MG;31;12307;3112307;Capelinha;39472
SP;35;50100;3550100;São Manuel;39467
PE;26;08800;2608800;Lajedo;39436
RO;11;00106;1100106;Guajará-Mirim;39396
ES;32;01407;3201407;Castelo;39372
SP;35;17406;3517406;Guaíra;39351
RS;43;06767;4306767;Eldorado do Sul;39330
MG;31;45604;3145604;Oliveira;39256
PR;41;15705;4115705;Matinhos;39212
MG;31;45901;3145901;Ouro Branco;39206
BA;29;26400;2926400;Riacho de Santana;39127
PI;22;10607;2210607;São Raimundo Nonato;39036
RJ;33;00233;3300233;Armação dos Búzios;39033
SP;35;41307;3541307;Presidente Epitácio;38992
SP;35;50407;3550407;São Pedro;38991
MA;21;00907;2100907;Araioses;38980
RJ;33;02601;3302601;Mangaratiba;38953
MA;21;11508;2111508;São Mateus do Maranhão;38902
BA;29;10503;2910503;Entre Rios;38880
PA;15;00503;1500503;Almeirim;38843
CE;23;14003;2314003;Várzea Alegre;38825
RJ;33;04805;3304805;São Fidélis;38711
BA;29;28109;2928109;Santa Maria da Vitória;38686
MG;31;09006;3109006;Brumadinho;38640
SP;35;33502;3533502;Novo Horizonte;38539
SC;42;15000;4215000;Rio Negrinho;38531
MG;31;72004;3172004;Visconde do Rio Branco;38493
BA;29;20601;2920601;Maragogipe;38394
MS;50;07208;5007208;Rio Brilhante;38362
SP;35;54508;3554508;Tietê;38336
MS;50;00609;5000609;Amambai;38251
SP;35;20400;3520400;Ilhabela;38239
PI;22;07009;2207009;Oeiras;38192
MG;31;34400;3134400;Iturama;38172
BA;29;22003;2922003;Mucuri;38082
RJ;33;06206;3306206;Vassouras;38081
PA;15;02806;1502806;Curralinho;38060
PA;15;00305;1500305;Afuá;38020
AL;27;09152;2709152;Teotônio Vilela;37999
PE;26;02308;2602308;Bonito;37953
PI;22;07900;2207900;Pedro II;37945
SP;35;34302;3534302;Orlândia;37916
BA;29;29206;2929206;São Francisco do Conde;37892
CE;23;10704;2310704;Pentecoste;37853
CE;23;08005;2308005;Massapê;37717
CE;23;08500;2308500;Mombaça;37707
CE;23;10506;2310506;Pedra Branca;37661
SP;35;40200;3540200;Pontal;37526
SP;35;00709;3500709;Agudos;37525
MA;21;12407;2112407;Turiaçu;37522
BA;29;18100;2918100;Jeremoabo;37519
PE;26;14204;2614204;Sirinhaém;37503
RO;11;00189;1100189;Pimenta Bueno;37464
BA;29;30204;2930204;Sento Sé;37389
SP;35;24105;3524105;Ituverava;37375
MT;51;05101;5105101;Juara;37369
AL;27;00409;2700409;Atalaia;37356
MG;31;52204;3152204;Porteirinha;37321
RN;24;11205;2411205;Santa Cruz;37232
GO;52;19308;5219308;Santa Helena de Goiás;37193
PE;26;02209;2602209;Bom Jardim;37190
MG;31;58953;3158953;Santana do Paraíso;37113
BA;29;28000;2928000;Santaluz;37079
SP;35;18602;3518602;Guariba;37022
PE;26;13107;2613107;São Caitano;36982
MA;21;08207;2108207;Pedreiras;36980
SC;42;03600;4203600;Campos Novos;36976
MG;31;35050;3135050;Jaíba;36945
GO;52;09101;5209101;Goiatuba;36936
MG;31;39003;3139003;Machado;36932
MG;31;41108;3141108;Matozinhos;36927
PR;41;14203;4114203;Mandaguari;36827
BA;29;28901;2928901;São Desidério;36793
RO;11;00155;1100155;Ouro Preto do Oeste;36753
CE;23;05902;2305902;Ipueiras;36751
CE;23;08401;2308401;Missão Velha;36719
MA;21;09601;2109601;Rosário;36688
MG;31;65537;3165537;Sarzedo;36581
RS;43;06601;4306601;Dom Pedrito;36559
RJ;33;05000;3305000;São João da Barra;36518
SP;35;25706;3525706;José Bonifácio;36502
RS;43;14803;4314803;Portão;36410
PR;41;02000;4102000;Assis Chateaubriand;36400
PR;41;17701;4117701;Palmeira;36384
RS;43;16402;4316402;Rosário do Sul;36343
MA;21;00600;2100600;Amarante do Maranhão;36266
BA;29;01007;2901007;Amargosa;36260
MT;51;04104;5104104;Guarantã do Norte;36190
PA;15;03804;1503804;Jacundá;36184
RN;24;01008;2401008;Apodi;36118
AM;13;00706;1300706;Boca do Acre;35964
ES;32;01902;3201902;Domingos Martins;35937
PE;26;05103;2605103;Custódia;35915
AL;27;02900;2702900;Girau do Ponciano;35899
RJ;33;00605;3300605;Bom Jesus do Itabapoana;35797
PA;15;03200;1503200;Igarapé-Açu;35788
PA;15;06005;1506005;Prainha;35655
GO;52;14606;5214606;Niquelândia;35609
PR;41;12009;4112009;Jaguariaíva;35527
MT;51;03353;5103353;Confresa;35514
AL;27;06901;2706901;Pilar;35433
RS;43;10603;4310603;Itaqui;35408
BA;29;27002;2927002;Rio Real;35378
BA;29;24405;2924405;Pilão Arcado;35326
GO;52;10208;5210208;Iporá;35284
PA;15;01105;1501105;Bagre;35265
PE;26;00708;2600708;Aliança;35245
MA;21;10203;2110203;Santa Rita;35231
RS;43;08607;4308607;Garibaldi;35219
PA;15;06187;1506187;Rondon do Pará;35182
SP;35;41604;3541604;Promissão;35142
PR;41;17909;4117909;Palotina;35063
SP;35;41505;3541505;Presidente Venceslau;35039
AP;16;00279;1600279;Laranjal do Jari;35038
AC;12;00302;1200302;Feijó;35035
BA;29;08507;2908507;Conceição do Jacuípe;34994
RS;43;05355;4305355;Charqueadas;34954
PE;26;07653;2607653;Itambé;34925
PE;26;13503;2613503;São José do Belmonte;34836
MG;31;51503;3151503;Piumhi;34834
PA;15;08084;1508084;Tucumã;34812
MG;31;03405;3103405;Araçuaí;34807
SP;35;46603;3546603;Santa Fé do Sul;34762
SC;42;13203;4213203;Pomerode;34699
RS;43;18903;4318903;São Luiz Gonzaga;34690
MG;31;62922;3162922;São Joaquim de Bicas;34677
MG;31;44300;3144300;Nanuque;34668
PA;15;04059;1504059;Mãe do Rio;34566
MT;51;06422;5106422;Peixoto de Azevedo;34493
PE;26;02001;2602001;Bodocó;34469
GO;52;18300;5218300;Posse;34450
RS;43;15701;4315701;Rio Pardo;34447
SP;35;05302;3505302;Barra Bonita;34430
SE;28;03203;2803203;Itaporanga d'Ajuda;34414
MA;21;12308;2112308;Tuntum;34411
SP;35;00105;3500105;Adamantina;34357
GO;52;15603;5215603;Padre Bernardo;34314
PE;26;11002;2611002;Petrolândia;34302
BA;29;30154;2930154;Serra do Ramalho;34270
RN;24;08300;2408300;Nova Cruz;34252
ES;32;04708;3204708;São Gabriel da Palha;34198
MA;21;02101;2102101;Brejo;34116
SC;42;02800;4202800;Braço do Norte;34113
PA;15;00701;1500701;Anajás;34065
BA;29;10602;2910602;Esplanada;34033
TO;17;05508;1705508;Colinas do Tocantins;33967
GO;52;03302;5203302;Bela Vista de Goiás;33912
GO;52;14507;5214507;Nerópolis;33898
PA;15;05205;1505205;Oeiras do Pará;33886
MA;21;10708;2110708;São Domingos do Maranhão;33837
PR;41;14302;4114302;Mandirituba;33795
BA;29;13705;2913705;Inhambupe;33771
SP;35;39509;3539509;Pitangueiras;33731
BA;29;17003;2917003;Itiúba;33671
SC;42;05506;4205506;Fraiburgo;33662
PR;41;19608;4119608;Pitanga;33640
PA;15;05031;1505031;Novo Progresso;33636
BA;29;09901;2909901;Curaçá;33603
PA;15;00859;1500859;Anapu;33566
PE;26;07505;2607505;Itaíba;33498
PE;26;11804;2611804;Ribeirão;33484
MS;50;02407;5002407;Caarapó;33471
SE;28;05406;2805406;Poço Redondo;33462
RS;43;08201;4308201;Flores da Cunha;33430
BA;29;26301;2926301;Riachão do Jacuípe;33422
SC;42;12502;4212502;Penha;33400
BA;29;21708;2921708;Morro do Chapéu;33389
BA;29;06873;2906873;Capim Grosso;33344
CE;23;02107;2302107;Baturité;33335
GO;52;20108;5220108;São Luís de Montes Belos;33279
SP;35;13108;3513108;Cravinhos;33252
MA;21;04057;2104057;Estreito;33245
GO;52;17401;5217401;Pires do Rio;33193
RN;24;05801;2405801;João Câmara;33191
AM;13;01407;1301407;Eirunepé;33173
RS;43;10108;4310108;Igrejinha;33173
BA;29;06303;2906303;Canavieiras;33080
BA;29;25204;2925204;Pojuca;33079
MG;31;68002;3168002;Taiobeiras;33071
RN;24;14407;2414407;Touros;33008
PR;41;19954;4119954;Pontal do Paraná;32985
CE;23;06900;2306900;Jaguaribe;32945
SP;35;02507;3502507;Aparecida;32927
SP;35;02903;3502903;Araçoiaba da Serra;32922
MA;21;02002;2102002;Bom Jardim;32894
MG;31;70800;3170800;Várzea da Palma;32885
RS;43;13706;4313706;Palmeira das Missões;32873
RS;43;22004;4322004;Triunfo;32859
BA;29;16500;2916500;Itapicuru;32793
MA;21;12605;2112605;Urbano Santos;32792
CE;23;13609;2313609;Ubajara;32778
RS;43;21451;4321451;Teutônia;32776
PA;15;00958;1500958;Aurora do Pará;32772
AM;13;03908;1303908;São Paulo de Olivença;32727
BA;29;09307;2909307;Correntina;32709
PR;41;11506;4111506;Ivaiporã;32604
